sequenceID	locus_name	virus_genus	full_name	locus_id	locus_numeric_id	structure	start gene	start_codon	nearest_upstream_orf	nearest_downstream_orf	family	host_group_taxleve;	host_group_name	core_shift	variable_region_type
ehbv-avi.1-neoaves	avi.1-neoaves	Avihepadnavirus	Endogenous avihepadnavirus 1	ehbv-avi.1-neoaves	1	complete	Core	1	FRY (intronic)	FRY (intronic)	Hepadnaviridae	Clade	Neoaves	N/A	avi-3
ehbv-avi.2-estrildidae	avi.2-estrildidae	Avihepadnavirus	Endogenous avihepadnavirus 2	ehbv-avi.2-estrildidae	2	fragment	nd	nd	DHX32	DHX32	Hepadnaviridae	Family	Estrildidae	N/A	ND
ehbv-avi.3-passeriformes	avi.3-passeriformes	Avihepadnavirus	Endogenous avihepadnavirus 3	ehbv-avi.3-passeriformes	3	fragment	nd	nd	SCN3B (intronic)	SCN3B (intronic)	Hepadnaviridae	Order	Passeriformes	N/A	ND
ehbv-avi.4-passeriformes	avi.4-passeriformes	Avihepadnavirus	Endogenous avihepadnavirus 4	ehbv-avi.4-passeriformes	4	fragment	nd	nd	CDH23 (intronic)	CDH23 (intronic)	Hepadnaviridae	Order	Passeriformes	N/A	ND
ehbv-avi.5-passeriformes	avi.5-passeriformes	Avihepadnavirus	Endogenous avihepadnavirus 5	ehbv-avi.5-unranked	5	fragment	nd	nd	LMO3	MGST1	Hepadnaviridae	Order	Passeriformes	N/A	ND
ehbv-avi.6-passeriformes	avi.6-passeriformes	Avihepadnavirus	Endogenous avihepadnavirus 6	ehbv-avi.6-passeriformes	6	fragment	nd	nd	FOXD3	ATG4C	Hepadnaviridae	Order	Passeriformes	N/A	ND
ehbv-avi.7-passeriformes	avi.7-passeriformes	Avihepadnavirus	Endogenous avihepadnavirus 7	ehbv-avi.7-passeriformes	7	fragment	nd	nd	TMEM132E	LIG3	Hepadnaviridae	Order	Passeriformes	N/A	ND
ehbv-avi.8-australiaves	avi.8-australiaves	Avihepadnavirus	Endogenous avihepadnavirus 8	ehbv-avi.8-australiaves	8	fragment	nd	nd	ATP2B2 (intronic)	ATP2B2 (intronic)	Hepadnaviridae	Clade	Australiaves	N/A	ND
ehbv-avi.9-melopsittacus	avi.9-melopsittacus	Avihepadnavirus	Endogenous avihepadnavirus 9	ehbv-avi.9-melopsittacus	9	complete	Core	1	CD109	CD109	Hepadnaviridae	Species	Melopsittacus	N/A	avi-1-modern
ehbv-avi.10-melopsittacus	avi.10-melopsittacus	Avihepadnavirus	Endogenous avihepadnavirus 10	ehbv-avi.10-melopsittacus	10	complete	Core	1	CD109	CD109	Hepadnaviridae	Species	Melopsittacus	N/A	avi-1-modern
ehbv-avi.11-tyto	avi.11-tyto	Avihepadnavirus	Endogenous avihepadnavirus 11	ehbv-avi.11-tyto	11	complete	Core	1	NAV3	E2F7	Hepadnaviridae	Species	Tyto alba	N/A	avi-2-rails
ehbv-avi.12-anatidae	avi.12-anatidae	Avihepadnavirus	Endogenous avihepadnavirus 12	ehbv-avi.12-anatidae	12	complete	Core	1	CCDC58 (intronic)	CCDC58 (intronic)	Hepadnaviridae	Family	Anatidae	N/A	avi-2-rails
ehbv-avi.13-paleognathae	avi.13-paleognathae	Avihepadnavirus	Endogenous avihepadnavirus 13	ehbv-avi.13-paleognathea	13	fragment	nd	nd	ENSDNVG00000017897	BCKDHB	Hepadnaviridae	Clade	Paleognathae	N/A	ND
ehbv-avi.14-gavia	avi.14-gavia	Avihepadnavirus	Endogenous avihepadnavirus 14	ehbv-avi.14-gavia	14	complete	Core	11	TAS1R3	DVL1	Hepadnaviridae	Species	Gavia	N/A	avi-2-rails
ehbv-avi.15-gavia	avi.15-gavia	Avihepadnavirus	Endogenous avihepadnavirus 15	ehbv-avi.15-gavia	15	complete	Core	1	TMEM182 (intronic)	TMEM182 (intronic)	Hepadnaviridae	Species	Gavia	N/A	avi-2-rails
ehbv-avi.16-turaco	avi.16-turaco	Avihepadnavirus	Endogenous avihepadnavirus 16	ehbv-avi.16-turaco	16	fragment	nd	nd	TMEM8B	ENSACUG00000013925	Hepadnaviridae	Species	Turaco	N/A	ND
ehbv-avi.18-calypte	avi.18-calypte	Avihepadnavirus	Endogenous avihepadnavirus 18	ehbv-avi.18-calypte	18	complete	Core	1	ENSSCUG00000017518 (intronic)/TSKU	ENSSCUG00000017518 (intronic)/EMSY	Hepadnaviridae	Species	Calypte	N/A	ND
ehbv-avi.19-buceros	avi.19-buceros	Avihepadnavirus	Endogenous avihepadnavirus 19	ehbv-avi.19-Buceros	19	complete	Core	1	PCDH18	PCDH10	Hepadnaviridae	Species	Buceros	N/A	avi-1-ancient
ehbv-avi.20-cariama	avi.20-cariama	Avihepadnavirus	Endogenous avihepadnavirus 20	ehbv-avi.20-Cariama	20	complete	Core	1	THBS1	KATNBL1	Hepadnaviridae	Species	Cariama	N/A	avi-3
ehbv-avi.21-paleognathae	avi.21-paleognathae	Avihepadnavirus	Endogenous avihepadnavirus 21	ehbv-avi.21-Paleognathea	21	fragment	nd	nd	LMCD1	GRM7	Hepadnaviridae	Clade	Paleognathae	N/A	ND
ehbv-avi.22-tyto	avi.22-tyto	Avihepadnavirus	Endogenous avihepadnavirus 22	ehbv-avi.22-tyto	22	fragment	nd	nd	MYBL2	PTPRT	Hepadnaviridae	Species	Tyto alba	N/A	avi-2-rails
ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	Endogenous avihepadnavirus 23	ehbv-avi.23-strigops	23	amp fragment	nd	nd	UBE2G1	 SPNS3	Hepadnaviridae	Order	Psittaciformes	N/A	avi-4
ehbv-avi.24-apaloderma	avi.24-apaloderma	Avihepadnavirus	Endogenous avihepadnavirus 24	ehbv-avi.24-apaloderma	24	fragment	nd	nd	CDH23 (intronic)	CDH23 (intronic)	Hepadnaviridae	Species	Apaloderma	N/A	avi-3
ehbv-avi.25-chaetura	avi.25-chaetura	Avihepadnavirus	Endogenous avihepadnavirus 25	ehbv-avi.25-chaetura	25	complete	Pol	523	ARMC1	CYP7B1	Hepadnaviridae	Species	Chaetura	N/A	avi-3
ehbv-avi.26-psittaciformes	avi.26-psittaciformes	Avihepadnavirus	Endogenous avihepadnavirus 26	ehbv-avi.26-psittaciformes	26	amp fragment	nd	nd	NELL1 (intronic)	NELL1 (intronic)	Hepadnaviridae	Order	Psittaciformes	N/A	ND
ehbv-avi.27-phalacrocoracidae	avi.27-phalacrocoracidae	Avihepadnavirus	Endogenous avihepadnavirus 27	ehbv-avi.27-phalacrocoracidae	27	amp fragment	nd	nd	SUPT7L	LRFN2	Hepadnaviridae	Family	Phalacrocoracidae	N/A	ND
ehbv-avi.28-alauda	avi.28-alauda	Avihepadnavirus	Endogenous avihepadnavirus 28	ehbv-avi.28-alauda	28	complete	Pol	745	EPHA6	NSUN3	Hepadnaviridae	Species	Alauda	N/A	avi-1-modern
ehbv-avi.29-psittacula	avi.29-psittacula	Avihepadnavirus	Endogenous avihepadnavirus 29	ehbv-avi.29-psittacula	29	complete	nd	nd	ENSMUNG00000011927/CHSY3	ENSMUNG00000011929/HINT1	Hepadnaviridae	Species	Psittacula	N/A	avi-4
