sequenceID	locus_numeric_id	ehbv-element-stem	host_species	host_class	host_superorder	major_clade	middle_clade	minor_clade	host_order	host_family	host_genus	target_version	target_name	scaffold	orientation	extract_start	extract_end	sequence_length	locus_name	virus_genus	subject_start	subject_end	query_start	query_end	align_len	bitscore	identity	evalue_num	evalue_exp	gap_openings	mismatches
ehbv-avi.1-Pelecanus_crispus	1	ehbv-avi.1	Pelecanus_crispus	Aves	Neognathae	Neoaves	NULL	Aequorlitornithes	Pelecaniformes	Pelecanidae	Pelecanus	bgi_2011-10-28	Pelecanus_crispus.scaf.noBacterial.fa	scaffold18295	+	28712	31652	2941	avi.1-neoaves	Avihepadnavirus	142	983	395	2941	865	941	63.584	0	1	14	0
ehbv-avi.1-Charadrius_vociferus	1	ehbv-avi.1	Charadrius_vociferus	Aves	Neognathae	Neoaves	NULL	Aequorlitornithes	Charadriiformes	Charadriidae	Charadrius	bgi_2011-10-28	Charadrius_vociferus.scaf.noBacterial.fa	scaffold16	+	72348	75185	2838	avi.1-neoaves	Avihepadnavirus	438	983	1216	2838	552	739	71.377	0	1	6	0
ehbv-avi.1-Haliaeetus_albicilla	1	ehbv-avi.1	Haliaeetus_albicilla	Aves	Neognathae	Neoaves	NULL	NULL	Accipitriformes	Accipitridae	Haliaeetus	bgi_2012-3-16	Haliaeetus_albicilla.scaf.noBacterial.fa	scaffold23856	+	22111	25059	2949	avi.1-neoaves	Avihepadnavirus	381	972	1135	2916	634	614	57.256	0	1	13	0
ehbv-avi.1-Fulmarus_glacialis	1	ehbv-avi.1	Fulmarus_glacialis	Aves	Neognathae	Neoaves	NULL	Aequorlitornithes	Procellariiformes	Procellariidae	Fulmarus	bgi_2011-10-28	Fulmarus_glacialis.scaf.noBacterial.fa	scaffold36944	+	87537	90406	2870	avi.1-neoaves	Avihepadnavirus	142	723	336	2075	587	613	62.521	0	1	6	0
ehbv-avi.1-Columba_livia	1	ehbv-avi.1	Columba_livia	Aves	Neognathae	Neoaves	NULL	Columbaves	Columbiformes	Columbidae	Columba	bgi_2011-10-28	Columba_livia.scaf.fa	scaffold59	-	1041607	1044594	2988	avi.1-neoaves	Avihepadnavirus	437	983	1282	2988	588	604	61.054	0	1	13	0
ehbv-avi.1-Nipponia_nippon	1	ehbv-avi.1	Nipponia_nippon	Aves	Neognathae	Neoaves	NULL	Aequorlitornithes	Pelecaniformes	Threskiornithidae	Nipponia	bgi_2011-10-28	Nipponia_nippon.scaf.fa	Scaffold60	-	168695	171628	2934	avi.1-neoaves	Avihepadnavirus	560	942	1662	2816	390	602	78.462	0	1	3	0
ehbv-avi.1-Recurvirostra_avosetta	1	ehbv-avi.1	Recurvirostra_avosetta	Aves	Neognathae	Neoaves	NULL	Aequorlitornithes	Charadriiformes	Recurvirostridae	Recurvirostra	ASM402374v1	GCA_004023745.1_ASM402374v1_genomic.fna	SAYO01035872.1	-	339535	342452	2918	avi.1-neoaves	Avihepadnavirus	359	983	1080	2918	657	593	57.23	0	1	14	0
ehbv-avi.1-Eurypyga_helias	1	ehbv-avi.1	Eurypyga_helias	Aves	Neognathae	Neoaves	NULL	NULL	Gruiformes	Eurypygidae	Eurypyga	bgi_2011-10-28	Eurypyga_helias.scaf.noBacterial.fa	scaffold15072	+	67853	70627	2775	avi.1-neoaves	Avihepadnavirus	54	759	63	2150	753	557	48.871	0	1	15	0
ehbv-avi.1-Tyto_alba	1	ehbv-avi.1	Tyto_alba	Aves	Neognathae	Neoaves	NULL	NULL	Strigiformes	Tytonidae	Tyto	bgi_2011-10-28	Tyto_alba.scaf.noBacterial.fa	scaffold12462	-	5659	8504	2846	avi.1-neoaves	Avihepadnavirus	8	558	4	1659	559	519	59.034	0	1	10	0
ehbv-avi.1-Paradisaea_rubra	1	ehbv-avi.1	Paradisaea_rubra	Aves	Neognathae	Neoaves	Inopaves	Australiaves	Passeriformes	Paradisaeidae	Paradisaea	GCA_003713215	GCA_003713215.1_ParRub_1.0_genomic.fna	RAHL01000034.1	+	2484638	2488171	3534	avi.1-neoaves	Avihepadnavirus	437	974	1924	3534	559	508	57.424	8.02	165	9	0
ehbv-avi.1-Phoenicopterus_ruber	1	ehbv-avi.1	Phoenicopterus_ruber	Aves	Neognathae	Neoaves	NULL	Aequorlitornithes	Phoenicopteriformes	Phoenicopteridae	Phoenicopterus	bgi_2011-10-28	Phoenicopterus_ruber.scaf.noBacterial.fa	scaffold29997	-	40566	43520	2955	avi.1-neoaves	Avihepadnavirus	705	983	2119	2955	279	506	88.172	0	1	0	0
ehbv-avi.1-Egretta_garzetta	1	ehbv-avi.1	Egretta_garzetta	Aves	Neognathae	Neoaves	NULL	Aequorlitornithes	Pelecaniformes	Ardeidae	Egretta	bgi_2011-10-28	Egretta_garzetta.scaf.noBacterial.fa	scaffold40	-	3941033	3943658	2626	avi.1-neoaves	Avihepadnavirus	171	686	228	1757	523	502	57.935	4.49	166	8	0
