taxon	sequenceID	name	genus	scaffold	identity	bitscore	host_species	host_genus	host_family	host_order
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/ehbv-meta.1-Antigone_vipio	ehbv-meta.1-Antigone_vipio	ehbv-meta.1-Antigone_vipio	Metahepadnavirus	BJEU01035877.1	65.957	148	Antigone_vipio	Antigone	Gruidae	Gruiformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/ehbv-meta.1-Aptenodytes_forsteri	ehbv-meta.1-Aptenodytes_forsteri	ehbv-meta.1-Aptenodytes_forsteri	Metahepadnavirus	Scaffold191	88.636	308	Aptenodytes_forsteri	Aptenodytes	Spheniscidae	Sphenisciformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/ehbv-meta.1-Aquila_chrysaetos_canadensis	ehbv-meta.1-Aquila_chrysaetos_canadensis	ehbv-meta.1-Aquila_chrysaetos_canadensis	Metahepadnavirus	gi|766829394|ref|NW_011950892.1|	82.474	157	Aquila_chrysaetos_canadensis	Aquila	Accipitridae	Accipitriformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/ehbv-meta.1-Balearica_regulorum	ehbv-meta.1-Balearica_regulorum	ehbv-meta.1-Balearica_regulorum	Metahepadnavirus	scaffold25654	78.049	100	Balearica_regulorum	Balearica	Gruidae	Gruiformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/ehbv-meta.1-Bubo_blakistoni	ehbv-meta.1-Bubo_blakistoni	ehbv-meta.1-Bubo_blakistoni	Metahepadnavirus	BJCB01006254.1	58.781	285	Bubo_blakistoni	Bubo	Strigidae	Strigiformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/ehbv-meta.1-Cariama_cristata	ehbv-meta.1-Cariama_cristata	ehbv-meta.1-Cariama_cristata	Metahepadnavirus	scaffold26485	77.976	256	Cariama_cristata	Cariama	Cariamidae	Gruiformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/ehbv-meta.1-Cathartes_aura	ehbv-meta.1-Cathartes_aura	ehbv-meta.1-Cathartes_aura	Metahepadnavirus	scaffold29482	78.114	399	Cathartes_aura	Cathartes	Cathartidae	Ciconiiformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/ehbv-meta.1-Ciconia_boyciana	ehbv-meta.1-Ciconia_boyciana	ehbv-meta.1-Ciconia_boyciana	Metahepadnavirus	BDFF01128302.1	88.776	180	Ciconia_boyciana	Ciconia	Ciconiidae	Ciconiiformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/ehbv-meta.1-Egretta_garzetta	ehbv-meta.1-Egretta_garzetta	ehbv-meta.1-Egretta_garzetta	Metahepadnavirus	scaffold226	64.789	94.4	Egretta_garzetta	Egretta	Ardeidae	Pelecaniformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/ehbv-meta.1-Fulmarus_glacialis	ehbv-meta.1-Fulmarus_glacialis	ehbv-meta.1-Fulmarus_glacialis	Metahepadnavirus	scaffold26062	62.162	256	Fulmarus_glacialis	Fulmarus	Procellariidae	Procellariiformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/ehbv-meta.1-Gavia_stellata	ehbv-meta.1-Gavia_stellata	ehbv-meta.1-Gavia_stellata	Metahepadnavirus	Scaffold12476	89.434	452	Gavia_stellata	Gavia	Gaviidae	Gaviiformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/ehbv-meta.1-Grus_japonensis	ehbv-meta.1-Grus_japonensis	ehbv-meta.1-Grus_japonensis	Metahepadnavirus	BDFG01031951.1	79.268	104	Grus_japonensis	Grus	Gruidae	Gruiformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/ehbv-meta.1-Grus_monacha	ehbv-meta.1-Grus_monacha	ehbv-meta.1-Grus_monacha	Metahepadnavirus	BJET01028024.1	58.929	293	Grus_monacha	Grus	Gruidae	Gruiformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/ehbv-meta.1-Haliaeetus_albicilla	ehbv-meta.1-Haliaeetus_albicilla	ehbv-meta.1-Haliaeetus_albicilla	Metahepadnavirus	scaffold35452	76.552	214	Haliaeetus_albicilla	Haliaeetus	Accipitridae	Accipitriformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/ehbv-meta.1-Haliaeetus_leucocephalus	ehbv-meta.1-Haliaeetus_leucocephalus	ehbv-meta.1-Haliaeetus_leucocephalus	Metahepadnavirus	Scaffold146	76.552	214	Haliaeetus_leucocephalus	Haliaeetus	Accipitridae	Accipitriformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/ehbv-meta.1-Himantopus_himantopus	ehbv-meta.1-Himantopus_himantopus	ehbv-meta.1-Himantopus_himantopus	Metahepadnavirus	RSEF01000020.1	62.802	244	Himantopus_himantopus	Himantopus	Recurvirostridae	Charadriiformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/ehbv-meta.1-Leptosomus_discolor	ehbv-meta.1-Leptosomus_discolor	ehbv-meta.1-Leptosomus_discolor	Metahepadnavirus	Scaffold34810	83.824	116	Leptosomus_discolor	Leptosomus	Leptosomidae	Coraciiformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/ehbv-meta.1-Nannopterum_brasilianus	ehbv-meta.1-Nannopterum_brasilianus	ehbv-meta.1-Nannopterum_brasilianus	Metahepadnavirus	NFME01000546.1	73.394	153	Nannopterum_brasilianus	Nannopterum	Phalacrocoracidae	Pelecaniformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/ehbv-meta.1-Nipponia_nippon	ehbv-meta.1-Nipponia_nippon	ehbv-meta.1-Nipponia_nippon	Metahepadnavirus	Scaffold729	73.577	261	Nipponia_nippon	Nipponia	Threskiornithidae	Pelecaniformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/ehbv-meta.1-Patagioenas_fasciata	ehbv-meta.1-Patagioenas_fasciata	ehbv-meta.1-Patagioenas_fasciata	Metahepadnavirus	LSYS01001150.1	64.423	202	Patagioenas_fasciata	Patagioenas	Columbidae	Columbiformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/ehbv-meta.1-Phaethon_lepturus	ehbv-meta.1-Phaethon_lepturus	ehbv-meta.1-Phaethon_lepturus	Metahepadnavirus	scaffold39851	79	303	Phaethon_lepturus	Phaethon	Phaethontidae	Pelecaniformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/ehbv-meta.1-Phoenicopterus_ruber	ehbv-meta.1-Phoenicopterus_ruber	ehbv-meta.1-Phoenicopterus_ruber	Metahepadnavirus	scaffold37654	77.654	271	Phoenicopterus_ruber	Phoenicopterus	Phoenicopteridae	Phoenicopteriformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/ehbv-meta.1-Pygoscelis_adeliae	ehbv-meta.1-Pygoscelis_adeliae	ehbv-meta.1-Pygoscelis_adeliae	Metahepadnavirus	Scaffold465	92.083	369	Pygoscelis_adeliae	Pygoscelis	Spheniscidae	Sphenisciformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/ehbv-meta.1-Pygoscelis_antarcticus	ehbv-meta.1-Pygoscelis_antarcticus	ehbv-meta.1-Pygoscelis_antarcticus	Metahepadnavirus	NDHD01000976.1	92.946	405	Pygoscelis_antarcticus	Pygoscelis	Spheniscidae	Sphenisciformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/ehbv-meta.1-Pygoscelis_papua	ehbv-meta.1-Pygoscelis_papua	ehbv-meta.1-Pygoscelis_papua	Metahepadnavirus	NDHF01000976.1	92.083	369	Pygoscelis_papua	Pygoscelis	Spheniscidae	Sphenisciformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/ehbv-meta.1-Recurvirostra_avosetta	ehbv-meta.1-Recurvirostra_avosetta	ehbv-meta.1-Recurvirostra_avosetta	Metahepadnavirus	SAYO01025060.1	83.898	212	Recurvirostra_avosetta	Recurvirostra	Recurvirostridae	Charadriiformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/ehbv-meta.1-Spheniscus_humboldti	ehbv-meta.1-Spheniscus_humboldti	ehbv-meta.1-Spheniscus_humboldti	Metahepadnavirus	NDHA01000976.1	93.75	404	Spheniscus_humboldti	Spheniscus	Spheniscidae	Sphenisciformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/ehbv-meta.1-Spheniscus_magellanicus	ehbv-meta.1-Spheniscus_magellanicus	ehbv-meta.1-Spheniscus_magellanicus	Metahepadnavirus	NDGX01000976.1	92.531	400	Spheniscus_magellanicus	Spheniscus	Spheniscidae	Sphenisciformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/ehbv-meta.1-Spheniscus_mendiculus	ehbv-meta.1-Spheniscus_mendiculus	ehbv-meta.1-Spheniscus_mendiculus	Metahepadnavirus	NDGW01000976.1	96.25	417	Spheniscus_mendiculus	Spheniscus	Spheniscidae	Sphenisciformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/ehbv-meta.1-Sphenodon_punctatus	ehbv-meta.1-Sphenodon_punctatus	ehbv-meta.1-sphenodon_punctatus	Metahepadnavirus	QEPC01006442.1	98.552	1390	Sphenodon_punctatus	Sphenodon	Sphenodontidae	NULL
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/ehbv-meta.1-Tyto_alba	ehbv-meta.1-Tyto_alba	ehbv-meta.1-Tyto_alba	Metahepadnavirus	scaffold38087	60.674	93.6	Tyto_alba	Tyto	Tytonidae	Strigiformes
