taxon	sequenceID	name	genus	scaffold	identity	bitscore	host_species	host_genus	host_family	host_order
alignment/AL_EHBV-herpeto.1-serpentes/member/fasta-digs-ehbv/ehbv-herpeto.1-Crotalus_horridus	ehbv-herpeto.1-Crotalus_horridus	ehbv-herpeto.1-Crotalus_horridus	Herpetohepadnavirus	LVCR01004636.1	82.377	362	Crotalus_horridus	Crotalus	Viperidae	NULL
alignment/AL_EHBV-herpeto.1-serpentes/member/fasta-digs-ehbv/ehbv-herpeto.1-Crotalus_mitchellii_pyrrhus	ehbv-herpeto.1-Crotalus_mitchellii_pyrrhus	ehbv-herpeto.1-Crotalus_mitchellii_pyrrhus	Herpetohepadnavirus	JPMF01092737.1	80.342	184	Crotalus_mitchellii_pyrrhus	Crotalus	Viperidae	NULL
alignment/AL_EHBV-herpeto.1-serpentes/member/fasta-digs-ehbv/ehbv-herpeto.1-Crotalus_viridis	ehbv-herpeto.1-Crotalus_viridis	ehbv-herpeto.1-Crotalus_viridis	Herpetohepadnavirus	PDHV01001288.1	82.051	189	Crotalus_viridis	Crotalus	Viperidae	NULL
alignment/AL_EHBV-herpeto.1-serpentes/member/fasta-digs-ehbv/ehbv-herpeto.1-Emydocephalus_ijimae	ehbv-herpeto.1-Emydocephalus_ijimae	ehbv-herpeto.1-Emydocephalus_ijimae	Herpetohepadnavirus	BHEV01010334.1	65.591	109	Emydocephalus_ijimae	Emydocephalus	Hydrophiidae	NULL
alignment/AL_EHBV-herpeto.1-serpentes/member/fasta-digs-ehbv/ehbv-herpeto.1-Hydrophis_cyanocinctus	ehbv-herpeto.1-Hydrophis_cyanocinctus	ehbv-herpeto.1-Hydrophis_cyanocinctus	Herpetohepadnavirus	RSAE01514564.1	66.667	109	Hydrophis_cyanocinctus	Hydrophis	Hydrophiidae	NULL
alignment/AL_EHBV-herpeto.1-serpentes/member/fasta-digs-ehbv/ehbv-herpeto.1-Hydrophis_melanocephalus	ehbv-herpeto.1-Hydrophis_melanocephalus	ehbv-herpeto.1-Hydrophis_melanocephalus	Herpetohepadnavirus	BHFS01054855.1	66.667	109	Hydrophis_melanocephalus	Hydrophis	Hydrophiidae	NULL
alignment/AL_EHBV-herpeto.1-serpentes/member/fasta-digs-ehbv/ehbv-herpeto.1-Laticauda_laticaudata	ehbv-herpeto.1-Laticauda_laticaudata	ehbv-herpeto.1-Laticauda_laticaudata	Herpetohepadnavirus	BHFT01039020.1	60.526	142	Laticauda_laticaudata	Laticauda	Elapidae	NULL
alignment/AL_EHBV-herpeto.1-serpentes/member/fasta-digs-ehbv/ehbv-herpeto.1-Pantherophis_guttatus	ehbv-herpeto.1-Pantherophis_guttatus	ehbv-herpeto.1-Pantherophis_guttatus	Herpetohepadnavirus	JTLQ01436631.1	80.189	176	Pantherophis_guttatus	Pantherophis	Colubridae	NULL
alignment/AL_EHBV-herpeto.1-serpentes/member/fasta-digs-ehbv/ehbv-herpeto.1-Protobothrops_flavoviridis	ehbv-herpeto.1-Protobothrops_flavoviridis	ehbv-herpeto.1-Protobothrops_flavoviridis	Herpetohepadnavirus	BFFQ01001608.1	77.778	181	Protobothrops_flavoviridis	Protobothrops	Viperidae	NULL
alignment/AL_EHBV-herpeto.1-serpentes/member/fasta-digs-ehbv/ehbv-herpeto.1-Protobothrops_mucrosquamatus	ehbv-herpeto.1-Protobothrops_mucrosquamatus	ehbv-herpeto.1-Protobothrops_mucrosquamatus	Herpetohepadnavirus	gi|1002152146|ref|NW_015386765.1|	88.971	216	Protobothrops_mucrosquamatus	Protobothrops	Viperidae	NULL
alignment/AL_EHBV-herpeto.1-serpentes/member/fasta-digs-ehbv/ehbv-herpeto.1-Pseudonaja_textilis	ehbv-herpeto.1-Pseudonaja_textilis	ehbv-herpeto.1-Pseudonaja_textilis	Herpetohepadnavirus	ref|NW_020769319.1|	49.718	142	Pseudonaja_textilis	Pseudonaja	Elapidae	NULL
alignment/AL_EHBV-herpeto.1-serpentes/member/fasta-digs-ehbv/ehbv-herpeto.1-Ptyas_mucosa	ehbv-herpeto.1-Ptyas_mucosa	ehbv-herpeto.1-Ptyas_mucosa	Herpetohepadnavirus	WNWU01000003.1	72.973	166	Ptyas_mucosa	Ptyas	Colubridae	Squamata
alignment/AL_EHBV-herpeto.1-serpentes/member/fasta-digs-ehbv/ehbv-herpeto.1-Thamnophis_elegans	ehbv-herpeto.1-Thamnophis_elegans	ehbv-herpeto.1-Thamnophis_elegans	Herpetohepadnavirus	NC_045548.1	74.219	159	Thamnophis_elegans	Thamnophis	Colubridae	NULL
alignment/AL_EHBV-herpeto.1-serpentes/member/fasta-digs-ehbv/ehbv-herpeto.1-Thamnophis_sirtalis	ehbv-herpeto.1-Thamnophis_sirtalis	ehbv-herpeto.1-Thamnophis_sirtalis	Herpetohepadnavirus	gi|923476242|ref|NW_013657892.1|	75.573	148	Thamnophis_sirtalis	Thamnophis	Colubridae	NULL
alignment/AL_EHBV-herpeto.1-serpentes/member/fasta-digs-ehbv/ehbv-herpeto.1-Vipera_berus	ehbv-herpeto.1-Vipera_berus	ehbv-herpeto.1-Vipera_berus	Herpetohepadnavirus	KN638773.1	73.543	272	Vipera_berus	Vipera	Viperidae	NULL
