taxon	sequenceID	name	genus	scaffold	identity	bitscore	host_species	host_genus	host_family	host_order
alignment/AL_EHBV-herpeto.5-testudines/member/fasta-digs-ehbv/ehbv-herpeto.5-Actinemys_marmorata	ehbv-herpeto.5-Actinemys_marmorata	ehbv-herpeto.5-Actinemys_marmorata	Herpetohepadnavirus	ML756179.1	96.774	120	Actinemys_marmorata	Actinemys	Emydidae	NULL
alignment/AL_EHBV-herpeto.5-testudines/member/fasta-digs-ehbv/ehbv-herpeto.5-Apalone_spinifera	ehbv-herpeto.5-Apalone_spinifera	ehbv-herpeto.5-Apalone_spinifera	Herpetohepadnavirus	KB930033.1	51.667	56.2	Apalone_spinifera	Apalone	Trionychidae	NULL
alignment/AL_EHBV-herpeto.5-testudines/member/fasta-digs-ehbv/ehbv-herpeto.5-Chelonia_mydas	ehbv-herpeto.5-Chelonia_mydas	ehbv-herpeto.5-Chelonia_mydas	Herpetohepadnavirus	gi|588870076|ref|NW_006625410.1|	83.607	104	Chelonia_mydas	Chelonia	Cheloniidae	NULL
alignment/AL_EHBV-herpeto.5-testudines/member/fasta-digs-ehbv/ehbv-herpeto.5-Chelonoidis_abingdonii	ehbv-herpeto.5-Chelonoidis_abingdonii	ehbv-herpeto.5-Chelonoidis_abingdonii	Herpetohepadnavirus	PKMU01003733.1	92.157	95.1	Chelonoidis_abingdonii	Chelonoidis	Testudinidae	NULL
alignment/AL_EHBV-herpeto.5-testudines/member/fasta-digs-ehbv/ehbv-herpeto.5-Chelydra_serpentina	ehbv-herpeto.5-Chelydra_serpentina	ehbv-herpeto.5-Chelydra_serpentina	Herpetohepadnavirus	ML689130.1	91.935	117	Chelydra_serpentina	Chelydra	Chelydridae	NULL
alignment/AL_EHBV-herpeto.5-testudines/member/fasta-digs-ehbv/ehbv-herpeto.5-Chrysemys_picta	ehbv-herpeto.5-Chrysemys_picta	ehbv-herpeto.5-Chrysemys_picta	Herpetohepadnavirus	JH584871	98.387	123	Chrysemys_picta	Chrysemys	Emydidae	NULL
alignment/AL_EHBV-herpeto.5-testudines/member/fasta-digs-ehbv/ehbv-herpeto.5-Cuora_amboinensis	ehbv-herpeto.5-Cuora_amboinensis	ehbv-herpeto.5-Cuora_amboinensis	Herpetohepadnavirus	ML138711.1	96.078	101	Cuora_amboinensis	Cuora	Geoemydidae	NULL
alignment/AL_EHBV-herpeto.5-testudines/member/fasta-digs-ehbv/ehbv-herpeto.5-Cuora_mccordi	ehbv-herpeto.5-Cuora_mccordi	ehbv-herpeto.5-Cuora_mccordi	Herpetohepadnavirus	ML123166.1	85.366	72.4	Cuora_mccordi	Cuora	Geoemydidae	NULL
alignment/AL_EHBV-herpeto.5-testudines/member/fasta-digs-ehbv/ehbv-herpeto.5-Dermatemys_mawii	ehbv-herpeto.5-Dermatemys_mawii	ehbv-herpeto.5-Dermatemys_mawii	Herpetohepadnavirus	ML677351.1	81.667	99	Dermatemys_mawii	Dermatemys	Dermatemydidae	NULL
alignment/AL_EHBV-herpeto.5-testudines/member/fasta-digs-ehbv/ehbv-herpeto.5-Dermochelys_coriacea	ehbv-herpeto.5-Dermochelys_coriacea	ehbv-herpeto.5-Dermochelys_coriacea	Herpetohepadnavirus	ML640236.1	81.967	100	Dermochelys_coriacea	Dermochelys	Dermochelyidae	NULL
alignment/AL_EHBV-herpeto.5-testudines/member/fasta-digs-ehbv/ehbv-herpeto.5-Emydura_subglobosa	ehbv-herpeto.5-Emydura_subglobosa	ehbv-herpeto.5-Emydura_subglobosa	Herpetohepadnavirus	ML679973.1	50	51.2	Emydura_subglobosa	Emydura	Chelidae	NULL
alignment/AL_EHBV-herpeto.5-testudines/member/fasta-digs-ehbv/ehbv-herpeto.5-Gopherus_agassizii	ehbv-herpeto.5-Gopherus_agassizii	ehbv-herpeto.5-Gopherus_agassizii	Herpetohepadnavirus	PPEB01000308.1	88.235	92	Gopherus_agassizii	Gopherus	Testudinidae	NULL
alignment/AL_EHBV-herpeto.5-testudines/member/fasta-digs-ehbv/ehbv-herpeto.5-Gopherus_evgoodei	ehbv-herpeto.5-Gopherus_evgoodei	ehbv-herpeto.5-Gopherus_evgoodei	Herpetohepadnavirus	CM017296.1	88.235	92	Gopherus_evgoodei	Gopherus	Testudinidae	NULL
alignment/AL_EHBV-herpeto.5-testudines/member/fasta-digs-ehbv/ehbv-herpeto.5-Malaclemys_terrapin_terrapin	ehbv-herpeto.5-Malaclemys_terrapin_terrapin	ehbv-herpeto.5-Malaclemys_terrapin_terrapin	Herpetohepadnavirus	MDXI01006960.1	100	80.1	Malaclemys_terrapin_terrapin	Malaclemys	Emydidae	NULL
alignment/AL_EHBV-herpeto.5-testudines/member/fasta-digs-ehbv/ehbv-herpeto.5-Pelodiscus_sinensis	ehbv-herpeto.5-Pelodiscus_sinensis	ehbv-herpeto.5-Pelodiscus_sinensis	Herpetohepadnavirus	JH212837.1	54.688	56.2	Pelodiscus_sinensis	Pelodiscus	Trionychidae	NULL
alignment/AL_EHBV-herpeto.5-testudines/member/fasta-digs-ehbv/ehbv-herpeto.5-Platysternon_megacephalum	ehbv-herpeto.5-Platysternon_megacephalum	ehbv-herpeto.5-Platysternon_megacephalum	Herpetohepadnavirus	QXTE01000132.1	93.443	114	Platysternon_megacephalum	Platysternon	Platysternidae	NULL
alignment/AL_EHBV-herpeto.5-testudines/member/fasta-digs-ehbv/ehbv-herpeto.5-Podocnemis_expansa	ehbv-herpeto.5-Podocnemis_expansa	ehbv-herpeto.5-Podocnemis_expansa	Herpetohepadnavirus	ML682018.1	55.102	47	Podocnemis_expansa	Podocnemis	Podocnemididae	NULL
alignment/AL_EHBV-herpeto.5-testudines/member/fasta-digs-ehbv/ehbv-herpeto.5-Terrapene_mexicana_triunguis	ehbv-herpeto.5-Terrapene_mexicana_triunguis	ehbv-herpeto.5-Terrapene_mexicana_triunguis	Herpetohepadnavirus	PRFB01002295.1	98.387	124	Terrapene_mexicana_triunguis	Terrapene	Emydidae	NULL
