taxon	sequenceID	name	genus	scaffold	identity	bitscore	host_species	host_genus	host_family	host_order
alignment/AL_EHBV-avi.31-passeriformes/member/fasta-digs-ehbv/ehbv-avi.31-Agapornis_roseicollis	ehbv-avi.31-Agapornis_roseicollis	ehbv-avi.31-Agapornis_roseicollis	Avihepadnavirus	NDXB01012147.1	49.091	62	Agapornis_roseicollis	Agapornis	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.31-passeriformes/member/fasta-digs-ehbv/ehbv-avi.31-Amazona_aestiva	ehbv-avi.31-Amazona_aestiva	ehbv-avi.31-Amazona_aestiva	Avihepadnavirus	LMAW01002818.1	72.5	68.2	Amazona_aestiva	Amazona	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.31-passeriformes/member/fasta-digs-ehbv/ehbv-avi.31-Amazona_vittata	ehbv-avi.31-Amazona_vittata	ehbv-avi.31-Amazona_vittata	Avihepadnavirus	KB287470.1	72.5	67.4	Amazona_vittata	Amazona	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.31-passeriformes/member/fasta-digs-ehbv/ehbv-avi.31-Anser_brachyrhynchus	ehbv-avi.31-Anser_brachyrhynchus	ehbv-avi.31-Anser_brachyrhynchus	Avihepadnavirus	NXHY01000317.1	63.095	117	Anser_brachyrhynchus	Anser	Anatidae	Anseriformes
alignment/AL_EHBV-avi.31-passeriformes/member/fasta-digs-ehbv/ehbv-avi.31-Anser_cygnoides	ehbv-avi.31-Anser_cygnoides	ehbv-avi.31-Anser_cygnoides	Avihepadnavirus	gi|901928791|ref|NW_013185700.1|	63.095	119	Anser_cygnoides	Anser	Anatidae	Anseriformes
alignment/AL_EHBV-avi.31-passeriformes/member/fasta-digs-ehbv/ehbv-avi.31-Ara_macao	ehbv-avi.31-Ara_macao	ehbv-avi.31-Ara_macao	Avihepadnavirus	AOUJ01470937.1	73.529	60.5	Ara_macao	Ara	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.31-passeriformes/member/fasta-digs-ehbv/ehbv-avi.31-Geospiza_fortis	ehbv-avi.31-Geospiza_fortis	ehbv-avi.31-Geospiza_fortis	Avihepadnavirus	JH760437	69.333	78.2	Geospiza_fortis	Geospiza	Thraupidae	Passeriformes
alignment/AL_EHBV-avi.31-passeriformes/member/fasta-digs-ehbv/ehbv-avi.31-Guaruba_guarouba	ehbv-avi.31-Guaruba_guarouba	ehbv-avi.31-Guaruba_guarouba	Avihepadnavirus	JAABOC010001671.1	73.529	60.5	Guaruba_guarouba	Guaruba	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.31-passeriformes/member/fasta-digs-ehbv/ehbv-avi.31-Hemignathus_virens	ehbv-avi.31-Hemignathus_virens	ehbv-avi.31-Hemignathus_virens	Avihepadnavirus	LTAT01000004.1	64.693	568	Hemignathus_virens	Hemignathus	Fringillidae	Passeriformes
alignment/AL_EHBV-avi.31-passeriformes/member/fasta-digs-ehbv/ehbv-avi.31-Molothrus_ater	ehbv-avi.31-Molothrus_ater	ehbv-avi.31-Molothrus_ater	Avihepadnavirus	CM022841.1	58.396	405	Molothrus_ater	Molothrus	Icteridae	Passeriformes
alignment/AL_EHBV-avi.31-passeriformes/member/fasta-digs-ehbv/ehbv-avi.31-Passer_domesticus	ehbv-avi.31-Passer_domesticus	ehbv-avi.31-Passer_domesticus	Avihepadnavirus	CM004529.1	86.008	1136	Passer_domesticus	Passer	Passeridae	Passeriformes
alignment/AL_EHBV-avi.31-passeriformes/member/fasta-digs-ehbv/ehbv-avi.31-Psittacula_krameri	ehbv-avi.31-Psittacula_krameri	ehbv-avi.31-Psittacula_krameri	Avihepadnavirus	NFZL01000852.1	70.588	57.4	Psittacula_krameri	Psittacula	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.31-passeriformes/member/fasta-digs-ehbv/ehbv-avi.31-Serinus_canaria	ehbv-avi.31-Serinus_canaria	ehbv-avi.31-Serinus_canaria	Avihepadnavirus	gi|668343359|ref|NW_007931122.1|	69.07	526	Serinus_canaria	Serinus	Fringillidae	Passeriformes
alignment/AL_EHBV-avi.31-passeriformes/member/fasta-digs-ehbv/ehbv-avi.31-Setophaga_coronata	ehbv-avi.31-Setophaga_coronata	ehbv-avi.31-Setophaga_coronata	Avihepadnavirus	MDLI01000006.1	77.492	440	Setophaga_coronata	Setophaga	Parulidae	Passeriformes
alignment/AL_EHBV-avi.31-passeriformes/member/fasta-digs-ehbv/ehbv-avi.31-Sporophila_hypoxantha	ehbv-avi.31-Sporophila_hypoxantha	ehbv-avi.31-Sporophila_hypoxantha	Avihepadnavirus	NDFG01000113.1	62.162	362	Sporophila_hypoxantha	Sporophila	Thraupidae	Passeriformes
alignment/AL_EHBV-avi.31-passeriformes/member/fasta-digs-ehbv/ehbv-avi.31-Zonotrichia_albicollis	ehbv-avi.31-Zonotrichia_albicollis	ehbv-avi.31-Zonotrichia_albicollis	Avihepadnavirus	gi|538542673|ref|NW_005081547.1|	81.761	266	Zonotrichia_albicollis	Zonotrichia	Passerellidae	Passeriformes
