taxon	sequenceID	name	genus	scaffold	identity	bitscore	host_species	host_genus	host_family	host_order
alignment/AL_EHBV-avi.5-passeriformes-unranked/member/fasta-digs-ehbv/ehbv-avi.5-Geospiza_fortis	ehbv-avi.5-Geospiza_fortis	ehbv-avi.5-Geospiza_fortis	Avihepadnavirus	JH739935	88.235	91.3	Geospiza_fortis	Geospiza	Thraupidae	Passeriformes
alignment/AL_EHBV-avi.5-passeriformes-unranked/member/fasta-digs-ehbv/ehbv-avi.5-Hemignathus_virens	ehbv-avi.5-Hemignathus_virens	ehbv-avi.5-Hemignathus_virens	Avihepadnavirus	LTAT01000011.1	90.909	107	Hemignathus_virens	Hemignathus	Fringillidae	Passeriformes
alignment/AL_EHBV-avi.5-passeriformes-unranked/member/fasta-digs-ehbv/ehbv-avi.5-Junco_hyemalis	ehbv-avi.5-Junco_hyemalis	ehbv-avi.5-Junco_hyemalis	Avihepadnavirus	QZWM01002192.1	86.275	88.6	Junco_hyemalis	Junco	Passerellidae	Passeriformes
alignment/AL_EHBV-avi.5-passeriformes-unranked/member/fasta-digs-ehbv/ehbv-avi.5-Lonchura_striata_domestica	ehbv-avi.5-Lonchura_striata_domestica	ehbv-avi.5-Lonchura_striata_domestica	Avihepadnavirus	NW_018654818.1	98.148	107	Lonchura_striata_domestica	Lonchura	Estrildidae	Passeriformes
alignment/AL_EHBV-avi.5-passeriformes-unranked/member/fasta-digs-ehbv/ehbv-avi.5-Passer_domesticus	ehbv-avi.5-Passer_domesticus	ehbv-avi.5-Passer_domesticus	Avihepadnavirus	CM004535.1	86.667	79	Passer_domesticus	Passer	Passeridae	Passeriformes
alignment/AL_EHBV-avi.5-passeriformes-unranked/member/fasta-digs-ehbv/ehbv-avi.5-Serinus_canaria	ehbv-avi.5-Serinus_canaria	ehbv-avi.5-Serinus_canaria	Avihepadnavirus	gi|668343350|ref|NW_007931131.1|	94.545	107	Serinus_canaria	Serinus	Fringillidae	Passeriformes
alignment/AL_EHBV-avi.5-passeriformes-unranked/member/fasta-digs-ehbv/ehbv-avi.5-Setophaga_coronata	ehbv-avi.5-Setophaga_coronata	ehbv-avi.5-Setophaga_coronata	Avihepadnavirus	MDLI01000090.1	94.444	103	Setophaga_coronata	Setophaga	Parulidae	Passeriformes
alignment/AL_EHBV-avi.5-passeriformes-unranked/member/fasta-digs-ehbv/ehbv-avi.5-Sporophila_hypoxantha	ehbv-avi.5-Sporophila_hypoxantha	ehbv-avi.5-Sporophila_hypoxantha	Avihepadnavirus	NDFG01000037.1	91.304	88.2	Sporophila_hypoxantha	Sporophila	Thraupidae	Passeriformes
alignment/AL_EHBV-avi.5-passeriformes-unranked/member/fasta-digs-ehbv/ehbv-avi.5-Taeniopygia_guttata	ehbv-avi.5-Taeniopygia_guttata	ehbv-avi.5-Taeniopygia_guttata	Avihepadnavirus	chr8	98.182	109	Taeniopygia_guttata	Taeniopygia	Estrildidae	Passeriformes
alignment/AL_EHBV-avi.5-passeriformes-unranked/member/fasta-digs-ehbv/ehbv-avi.5-Zonotrichia_albicollis	ehbv-avi.5-Zonotrichia_albicollis	ehbv-avi.5-Zonotrichia_albicollis	Avihepadnavirus	gi|538541919|ref|NW_005081684.1|	81.633	82.4	Zonotrichia_albicollis	Zonotrichia	Passerellidae	Passeriformes
