taxon	sequenceID	name	genus	scaffold	identity	bitscore	host_species	host_genus	host_family	host_order
alignment/AL_EHBV-avi.26-psittaciformes/member/fasta-digs-ehbv/ehbv-avi.26.1-Amazona_vittata	ehbv-avi.26.1-Amazona_vittata	ehbv-avi.26.1-Amazona_vittata	Avihepadnavirus	KB257602.1	100	358	Amazona_vittata	Amazona	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.26-psittaciformes/member/fasta-digs-ehbv/ehbv-avi.26.10-Melopsittacus_undulatus	ehbv-avi.26.10-Melopsittacus_undulatus	ehbv-avi.26.10-Melopsittacus_undulatus	Avihepadnavirus	JH556562	83.099	126	Melopsittacus_undulatus	Melopsittacus	Psittaculidae	Psittaciformes
alignment/AL_EHBV-avi.26-psittaciformes/member/fasta-digs-ehbv/ehbv-avi.26.11-Psittacula_krameri	ehbv-avi.26.11-Psittacula_krameri	ehbv-avi.26.11-Psittacula_krameri	Avihepadnavirus	NFZL01000077.1	81.944	119	Psittacula_krameri	Psittacula	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.26-psittaciformes/member/fasta-digs-ehbv/ehbv-avi.26.12-Psittacula_krameri	ehbv-avi.26.12-Psittacula_krameri	ehbv-avi.26.12-Psittacula_krameri	Avihepadnavirus	NFZL01153894.1	81.944	119	Psittacula_krameri	Psittacula	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.26-psittaciformes/member/fasta-digs-ehbv/ehbv-avi.26.13-Melopsittacus_undulatus	ehbv-avi.26.13-Melopsittacus_undulatus	ehbv-avi.26.13-Melopsittacus_undulatus	Avihepadnavirus	JH556606	79.032	102	Melopsittacus_undulatus	Melopsittacus	Psittaculidae	Psittaciformes
alignment/AL_EHBV-avi.26-psittaciformes/member/fasta-digs-ehbv/ehbv-avi.26.2-Psittacula_krameri	ehbv-avi.26.2-Psittacula_krameri	ehbv-avi.26.2-Psittacula_krameri	Avihepadnavirus	NFZL01001103.1	76.515	201	Psittacula_krameri	Psittacula	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.26-psittaciformes/member/fasta-digs-ehbv/ehbv-avi.26.3-Guaruba_guarouba	ehbv-avi.26.3-Guaruba_guarouba	ehbv-avi.26.3-Guaruba_guarouba	Avihepadnavirus	JAABOC010001571.1	85	176	Guaruba_guarouba	Guaruba	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.26-psittaciformes/member/fasta-digs-ehbv/ehbv-avi.26.4-Ara_macao	ehbv-avi.26.4-Ara_macao	ehbv-avi.26.4-Ara_macao	Avihepadnavirus	KE083073.1	87.097	168	Ara_macao	Ara	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.26-psittaciformes/member/fasta-digs-ehbv/ehbv-avi.26.5-Amazona_aestiva	ehbv-avi.26.5-Amazona_aestiva	ehbv-avi.26.5-Amazona_aestiva	Avihepadnavirus	LMAW01002739.1	97.403	156	Amazona_aestiva	Amazona	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.26-psittaciformes/member/fasta-digs-ehbv/ehbv-avi.26.6-Melopsittacus_undulatus	ehbv-avi.26.6-Melopsittacus_undulatus	ehbv-avi.26.6-Melopsittacus_undulatus	Avihepadnavirus	JH556616	72.043	139	Melopsittacus_undulatus	Melopsittacus	Psittaculidae	Psittaciformes
alignment/AL_EHBV-avi.26-psittaciformes/member/fasta-digs-ehbv/ehbv-avi.26.7-Pionus_senilis	ehbv-avi.26.7-Pionus_senilis	ehbv-avi.26.7-Pionus_senilis	Avihepadnavirus	WURU01184674.1	96.875	134	Pionus_senilis	Pionus	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.26-psittaciformes/member/fasta-digs-ehbv/ehbv-avi.26.8-Pionus_senilis	ehbv-avi.26.8-Pionus_senilis	ehbv-avi.26.8-Pionus_senilis	Avihepadnavirus	WURU01067777.1	70.968	131	Pionus_senilis	Pionus	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.26-psittaciformes/member/fasta-digs-ehbv/ehbv-avi.26.9-Psittacula_krameri	ehbv-avi.26.9-Psittacula_krameri	ehbv-avi.26.9-Psittacula_krameri	Avihepadnavirus	NFZL01001434.1	75.581	128	Psittacula_krameri	Psittacula	Psittacidae	Psittaciformes
